Packsize Number,"ID",Name,length,width,height,Volume,Cost,Max Weight
211,19.0015.0011.50,190015001150(F),19.00,15.00,11.50,9.3889,$32.22,30.00
212,19.0013.5011.00,190013501100(F),19.00,13.50,11.00,8.5278,$27.77,30.00
213,19.0011.5004.00,190011500400(G),19.00,11.50,4.00,4.7292,$8.75,30.00
214,19.0015.0004.50,190015000450(K),19.00,15.00,4.50,6.0833,$12.78,30.00
215,19.0012.5008.50,190012500850(E),19.00,12.50,8.50,7.0174,$19.93,30.00
216,19.0012.5004.00,190012500400(K),19.00,12.50,4.00,5.0486,$9.50,30.00
217,19.0012.5004.50,190012500450(K),19.00,12.50,4.50,5.2674,$10.66,30.00
218,19.0009.5005.00,190009500500(G),19.00,9.50,5.00,4.4861,$9.01,30.00
219,19.0012.5012.50,190012501250(F),19.00,12.50,12.50,8.7674,$29.20,30.00
220,19.0011.0009.00,190011000900(E),19.00,11.00,9.00,6.6528,$18.58,30.00
221,19.0012.5010.00,190012501000(E),19.00,12.50,10.00,7.6736,$23.41,30.00
222,19.0009.5007.50,190009500750(H),19.00,9.50,7.50,5.4757,$13.42,30.00
223,19.0014.0011.50,190014001150(F),19.00,14.00,11.50,8.9653,$30.09,30.00
224,19.0012.0008.00,190012000800(H),19.00,12.00,8.00,6.6111,$18.03,30.00
225,19.0010.0004.00,190010000400(G),19.00,10.00,4.00,4.2500,$7.62,30.00
226,19.0013.0010.00,190013001000(E),19.00,13.00,10.00,7.8750,$24.34,30.00
227,19.0014.5004.00,190014500400(K),19.00,14.50,4.00,5.6875,$11.01,30.00
228,19.0014.5004.50,190014500450(K),19.00,14.50,4.50,5.9201,$12.35,30.00
229,19.0011.5010.00,190011501000(E),19.00,11.50,10.00,7.2708,$21.55,30.00
230,19.0010.5008.00,190010500800(H),19.00,10.50,8.00,6.0486,$15.79,30.00
231,19.0013.0004.00,190013000400(K),19.00,13.00,4.00,5.2083,$9.88,30.00
232,19.0013.0011.00,190013001100(J),19.00,13.00,11.00,8.3194,$26.75,30.00
233,19.0010.0005.00,190010000500(G),19.00,10.00,5.00,4.6528,$9.47,30.00
234,19.0011.5008.50,190011500850(E),19.00,11.50,8.50,6.6354,$18.35,30.00
235,19.0011.0008.00,190011000800(H),19.00,11.00,8.00,6.2361,$16.54,30.00
236,19.0011.5004.50,190011500450(G),19.00,11.50,4.50,4.9410,$9.81,30.00
237,19.0011.5006.00,190011500600(G),19.00,11.50,6.00,5.5764,$13.02,30.00
238,19.0010.0005.50,190010000550(G),19.00,10.00,5.50,4.8542,$10.40,30.00
239,19.0013.0010.50,190013001050(E),19.00,13.00,10.50,8.0972,$25.54,30.00
240,19.0007.0004.00,190007000400(G),19.00,7.00,4.00,3.2917,$5.35,30.00
241,19.0012.0008.50,190012000850(E),19.00,12.00,8.50,6.8264,$19.14,30.00
242,19.0015.0010.50,190015001050(F),19.00,15.00,10.50,8.9167,$29.44,30.00
243,20.0009.5004.00,200009500400(G),20.00,9.50,4.00,4.2778,$7.62,30.00
244,20.0010.0005.00,200010000500(G),20.00,10.00,5.00,4.8611,$9.97,30.00
245,20.0010.0005.50,200010000550(G),20.00,10.00,5.50,5.0694,$10.95,30.00
246,20.0010.0006.00,200010000600(G),20.00,10.00,6.00,5.2778,$11.93,30.00
247,20.0010.0006.50,200010000650(H),20.00,10.00,6.50,5.4861,$12.90,30.00
248,20.0010.0008.00,200010000800(H),20.00,10.00,8.00,6.1111,$15.84,30.00
249,20.0010.5005.00,200010500500(G),20.00,10.50,5.00,5.0347,$10.46,30.00
250,20.0011.0008.00,200011000800(H),20.00,11.00,8.00,6.5000,$17.40,30.00
251,20.0011.5005.00,200011500500(G),20.00,11.50,5.00,5.3819,$11.45,30.00
252,20.0011.5005.50,200011500550(G),20.00,11.50,5.50,5.6007,$12.57,30.00
253,20.0011.5007.00,200011500700(H),20.00,11.50,7.00,6.2569,$15.94,30.00
254,20.0011.5007.50,200011500750(H),20.00,11.50,7.50,6.4757,$17.07,30.00
255,20.0011.5008.00,200011500800(H),20.00,11.50,8.00,6.6944,$18.19,30.00
256,20.0011.5011.50,200011501150(J),20.00,11.50,11.50,8.2257,$26.05,30.00
257,20.0012.0004.00,200012000400(G),20.00,12.00,4.00,5.1111,$9.60,30.00
258,20.0012.0004.50,200012000450(G),20.00,12.00,4.50,5.3333,$10.77,30.00
259,20.0012.0006.00,200012000600(G),20.00,12.00,6.00,6.0000,$14.29,30.00
260,20.0012.0008.00,200012000800(H),20.00,12.00,8.00,6.8889,$18.97,30.00
261,20.0012.0009.00,200012000900(J),20.00,12.00,9.00,7.3333,$21.31,30.00
262,20.0012.0010.00,200012001000(J),20.00,12.00,10.00,7.7778,$23.66,30.00
263,20.0012.0012.00,200012001200(F),20.00,12.00,12.00,8.6667,$28.34,30.00
264,20.0012.5005.00,200012500500(K),20.00,12.50,5.00,5.7292,$12.44,30.00
265,20.0012.5008.00,200012500800(L),20.00,12.50,8.00,7.0833,$19.76,30.00
266,20.0012.5009.00,200012500900(J),20.00,12.50,9.00,7.5347,$22.19,30.00
267,20.0012.5009.50,200012500950(J),20.00,12.50,9.50,7.7604,$23.41,30.00
268,20.0012.5012.50,200012501250(F),20.00,12.50,12.50,9.1146,$30.73,30.00
269,20.0013.0011.50,200013001150(J),20.00,13.00,11.50,8.8819,$29.42,30.00
270,20.0011.0008.50,200011000850(L),20.00,11.00,8.50,6.7153,$18.48,30.00
271,20.0011.5006.00,200011500600(G),20.00,11.50,6.00,5.8194,$13.70,30.00
272,20.0013.5012.00,200013501200(F),20.00,13.50,12.00,9.3333,$31.85,30.00
273,20.0009.5004.50,200009500450(G),20.00,9.50,4.50,4.4826,$8.55,30.00
274,20.0011.5009.00,200011500900(J),20.00,11.50,9.00,7.1319,$20.43,30.00
275,20.0010.0004.00,200010000400(G),20.00,10.00,4.00,4.4444,$8.02,30.00
276,20.0010.5005.50,200010500550(G),20.00,10.50,5.50,5.2465,$11.49,30.00
277,20.0011.5010.00,200011501000(J),20.00,11.50,10.00,7.5694,$22.68,30.00
278,20.0010.0004.50,200010000450(G),20.00,10.00,4.50,4.6528,$8.99,30.00
279,20.0015.5011.00,200015501100(F),20.00,15.50,11.00,9.7292,$33.52,30.00
280,20.0013.5011.50,200013501150(F),20.00,13.50,11.50,9.1007,$30.54,30.00
281,20.0009.5005.50,200009500550(G),20.00,9.50,5.50,4.8924,$10.41,30.00
282,20.0013.5011.00,200013501100(F),20.00,13.50,11.00,8.8681,$29.22,30.00
283,20.0011.5006.50,200011500650(H),20.00,11.50,6.50,6.0382,$14.82,30.00
284,20.0016.0010.00,200016001000(F),20.00,16.00,10.00,9.4444,$31.48,30.00
285,20.0015.5013.00,200015501300(F),20.00,15.50,13.00,10.7153,$39.56,30.00
286,20.0011.5004.50,200011500450(G),20.00,11.50,4.50,5.1632,$10.33,30.00
287,20.0015.0011.50,200015001150(F),20.00,15.00,11.50,9.7569,$33.91,30.00
288,20.0011.5004.00,200011500400(G),20.00,11.50,4.00,4.9444,$9.21,30.00
289,20.0008.5004.50,200008500450(G),20.00,8.50,4.50,4.1424,$7.66,30.00
290,20.0016.0011.50,200016001150(F),20.00,16.00,11.50,10.1944,$36.15,30.00
291,20.0015.5006.50,200015500650(F),20.00,15.50,6.50,7.5104,$19.93,30.00
292,20.0015.5008.00,200015500800(F),20.00,15.50,8.00,8.2500,$24.46,30.00
293,20.0008.0004.00,200008000400(G),20.00,8.00,4.00,3.7778,$6.43,30.00
294,20.0010.0007.50,200010000750(H),20.00,10.00,7.50,5.9028,$14.86,30.00
295,20.0013.0011.00,200013001100(J),20.00,13.00,11.00,8.6528,$28.15,30.00
296,20.0013.0005.00,200013000500(K),20.00,13.00,5.00,5.9028,$12.93,30.00
297,20.0011.0004.50,200011000450(G),20.00,11.00,4.50,4.9931,$9.88,30.00
298,20.0013.5010.00,200013501000(F),20.00,13.50,10.00,8.4028,$26.59,30.00
299,20.0007.0005.00,200007000500(G),20.00,7.00,5.00,3.8194,$7.01,30.00
300,20.0013.0006.00,200013000600(L),20.00,13.00,6.00,6.3611,$15.47,30.00
301,20.0013.0004.00,200013000400(K),20.00,13.00,4.00,5.4444,$10.40,30.00
302,20.0010.5004.00,200010500400(G),20.00,10.50,4.00,4.6111,$8.41,30.00
303,20.0011.0006.00,200011000600(G),20.00,11.00,6.00,5.6389,$13.11,30.00
304,20.0008.5005.00,200008500500(G),20.00,8.50,5.00,4.3403,$8.49,30.00
305,20.0014.0007.50,200014000750(L),20.00,14.00,7.50,7.4306,$20.74,30.00
306,20.0013.0010.00,200013001000(J),20.00,13.00,10.00,8.1944,$25.61,30.00
307,20.0012.5010.00,200012501000(J),20.00,12.50,10.00,7.9861,$24.63,30.00
308,20.0015.5013.50,200015501350(F),20.00,15.50,13.50,10.9618,$41.07,30.00
309,20.0014.5009.50,200014500950(F),20.00,14.50,9.50,8.5799,$27.13,30.00
