Packsize Number,ID,Name,Length,Width,Height,Max Weight,Volume,Cost
246,20.0010.0006.00,200010000600(G),20,6,10,30,1200,11.9254444444444
247,20.0010.0006.50,200010000650(H),20,6.5,10,30,1300,12.9030277777778
248,20.0010.0008.00,200010000800(H),20,8,10,30,1600,15.8357777777778
249,20.0010.5005.00,200010500500(G),20,5,10.5,30,1050,10.4639305555556
250,20.0011.0008.00,200011000800(H),20,8,11,30,1760,17.4038
251,20.0011.5005.00,200011500500(G),20,5,11.5,30,1150,11.4512361111111
252,20.0011.5005.50,200011500550(G),20,5.5,11.5,30,1265,12.5739986111111
253,20.0011.5007.00,200011500700(H),20,7,11.5,30,1610,15.9422861111111
254,20.0011.5007.50,200011500750(H),20,7.5,11.5,30,1725,17.0650486111111
255,20.0011.5008.00,200011500800(H),20,8,11.5,30,1840,18.1878111111111
256,20.0011.5011.50,200011501150(J),20,11.5,11.5,30,2645,26.0471486111111
257,20.0012.0004.00,200012000400(G),20,4,12,30,960,9.60257777777778
258,20.0012.0004.50,200012000450(G),20,4.5,12,30,1080,10.7737333333333
259,20.0012.0006.00,200012000600(G),20,6,12,30,1440,14.2872
260,20.0012.0008.00,200012000800(H),20,8,12,30,1920,18.9718222222222
261,20.0012.0009.00,200012000900(J),20,9,12,30,2160,21.3141333333333
262,20.0012.0010.00,200012001000(J),20,10,12,30,2400,23.6564444444444
263,20.0012.0012.00,200012001200(F),20,12,12,30,2880,28.3410666666667
264,20.0012.5005.00,200012500500(K),20,5,12.5,30,1250,12.4385416666667
265,20.0012.5008.00,200012500800(L),20,8,12.5,30,2000,19.7558333333333
266,20.0012.5009.00,200012500900(J),20,9,12.5,30,2250,22.1949305555556
267,20.0012.5009.50,200012500950(J),20,9.5,12.5,30,2375,23.4144791666667
268,20.0012.5012.50,200012501250(F),20,12.5,12.5,30,3125,30.7317708333333
269,20.0013.0011.50,200013001150(J),20,11.5,13,30,2990,29.4154361111111
270,20.0011.0008.50,200011000850(L),20,8.5,11,30,1870,18.4781694444444
271,20.0011.5006.00,200011500600(G),20,6,11.5,30,1380,13.6967611111111
272,20.0013.5012.00,200013501200(F),20,12,13.5,30,3240,31.8545333333333
273,20.0009.5004.50,200009500450(G),20,4.5,9.5,30,855,8.54743472222222
274,20.0011.5009.00,200011500900(J),20,9,11.5,30,2070,20.4333361111111
275,20.0010.0004.00,200010000400(G),20,4,10,30,800,8.01511111111111
276,20.0010.5005.50,200010500550(G),20,5.5,10.5,30,1155,11.4899069444444
277,20.0011.5010.00,200011501000(J),20,10,11.5,30,2300,22.6788611111111
278,20.0010.0004.50,200010000450(G),20,4.5,10,30,900,8.99269444444444
279,20.0015.5011.00,200015501100(F),20,11,15.5,30,3410,33.5193416666667
280,20.0013.5011.50,200013501150(F),20,11.5,13.5,30,3105,30.5381986111111
281,20.0009.5005.50,200009500550(G),20,5.5,9.5,30,1045,10.4058152777778
282,20.0013.5011.00,200013501100(F),20,11,13.5,30,2970,29.2218638888889
283,20.0011.5006.50,200011500650(H),20,6.5,11.5,30,1495,14.8195236111111
284,20.0016.0010.00,200016001000(F),20,10,16,30,3200,31.4771111111111
285,20.0015.5013.00,200015501300(F),20,13,15.5,30,4030,39.5589694444444
286,20.0011.5004.50,200011500450(G),20,4.5,11.5,30,1035,10.3284736111111
287,20.0015.0011.50,200015001150(F),20,11.5,15,30,3450,33.9064861111111
288,20.0011.5004.00,200011500400(G),20,4,11.5,30,920,9.20571111111111
289,20.0008.5004.50,200008500450(G),20,4.5,8.5,30,765,7.65691527777778
290,20.0016.0011.50,200016001150(F),20,11.5,16,30,3680,36.1520111111111
291,20.0015.5006.50,200015500650(F),20,6.5,15.5,30,2015,19.9301791666667
292,20.0015.5008.00,200015500800(F),20,8,15.5,30,2480,24.4599
293,20.0008.0004.00,200008000400(G),20,4,8,30,640,6.42764444444444
294,20.0010.0007.50,200010000750(H),20,7.5,10,30,1500,14.8581944444444
295,20.0013.0011.00,200013001100(J),20,11,13,30,2860,28.1474944444444
296,20.0013.0005.00,200013000500(K),20,5,13,30,1300,12.9321944444444
297,20.0011.0004.50,200011000450(G),20,4.5,11,30,990,9.88321388888889
298,20.0013.5010.00,200013501000(F),20,10,13.5,30,2700,26.5891944444444
299,20.0007.0005.00,200007000500(G),20,5,7,30,700,7.00836111111111
300,20.0013.0006.00,200013000600(L),20,6,13,30,1560,15.4680777777778
301,20.0013.0004.00,200013000400(K),20,4,13,30,1040,10.3963111111111
302,20.0010.5004.00,200010500400(G),20,4,10.5,30,840,8.41197777777778
303,20.0011.0006.00,200011000600(G),20,6,11,30,1320,13.1063222222222
304,20.0008.5005.00,200008500500(G),20,5,8.5,30,850,8.48931944444444
305,20.0014.0007.50,200014000750(L),20,7.5,14,30,2100,20.7431388888889
306,20.0013.0010.00,200013001000(J),20,10,13,30,2600,25.6116111111111
307,20.0012.5010.00,200012501000(J),20,10,12.5,30,2500,24.6340277777778
308,20.0015.5013.50,200015501350(F),20,13.5,15.5,30,4185,41.0688763888889
309,20.0014.5009.50,200014500950(F),20,9.5,14.5,30,2755,27.1312402777778
310,20.0008.0005.00,200008000500(G),20,5,8,30,800,7.99566666666667
311,20.0015.5011.50,200015501150(F),20,11.5,15.5,30,3565,35.0292486111111
